plate,row,column,roi,,,
23,C,6,19,,,
23,D,1,32,,,
23,D,2,31,,,
23,D,3,30,,,
23,D,4,27,,,
23,D,5,26,28,,
23,D,6,,,,
24,A,1,6,,,
24,A,2,8,,,
24,A,3,,,,
24,A,4,7,,,
24,A,5,5,,,
24,A,6,4,,,
24,B,1,,,,
24,B,2,14,,,
24,B,3,13,,,
24,B,4,12,,,
24,B,5,,,,
24,B,6,15,,,
24,C,1,19,,,
24,C,2,18,,,
24,C,3,,,,
24,C,4,,,,
24,C,5,21,22,,
24,C,6,20,,,
24,D,1,,,,
24,D,2,,,,
24,D,3,23,27,,
24,D,4,,,,
24,D,5,24,,,
24,D,6,26,,,
