plate,row,column,roi,,,,,
4,B,2,15,,,,,
4,B,3,14,,,,,
4,B,4,16,,,,,
4,B,5,18,,,,,
4,B,6,13,17,,,,
4,C,1,19,20,23,,,
4,C,2,25,,,,,
4,C,3,22,28,,,,
4,C,4,24,27,,,,
4,C,5,21,26,,,,
4,C,6,,,,,,
4,D,1,29,30,33,,,
4,D,2,32,,,,,
4,D,3,31,35,,,,
4,D,4,,,,,,
4,D,5,34,,,,,
4,D,6,36,,,,,
5,A,1,33,,,,,
5,A,2,35,36,,,,
5,A,3,32,34,,,,
5,A,4,31,,,,,
5,A,5,27,30,,,,
5,A,6,28,29,,,,
5,B,1,23,,,,,
5,B,2,19,25,,,,
5,B,3,24,,,,,
5,B,4,17,20,22,,,
5,B,5,16,18,21,26,,
5,B,6,,,,,,
5,C,1,,,,,,
5,C,2,11,14,,,,
5,C,3,12,,,,,
5,C,4,,,,,,
5,C,5,10,13,15,,,
5,C,6,,,,,,
5,D,1,6,9,,,,
5,D,2,,,,,,
5,D,3,,,,,,
5,D,4,4,7,,,,
5,D,5,3,,,,,
5,D,6,1,2,5,8,,
6,A,1,,,,,,
6,A,2,9,,,,,
6,A,3,4,6,8,10,,
6,A,4,7,,,,,
6,A,5,5,13,,,,
6,A,6,11,12,14,15,,
6,B,1,20,,,,,
6,B,2,19,21,23,,,
6,B,3,16,18,22,,,
6,B,4,17,,,,,
6,B,5,25,,,,,
6,B,6,24,,,,,
6,C,1,30,32,,,,
6,C,2,27,29,34,35,,
6,C,3,26,28,,,,
6,C,4,31,,,,,
6,C,5,,,,,,
6,C,6,33,36,37,38,,
6,D,1,,,,,,
6,D,2,39,,,,,
6,D,3,,,,,,
6,D,4,,,,,,
6,D,5,40,41,,,,
6,D,6,,,,,,
7,A,1,3,,,,,
7,A,2,5,,,,,
7,A,3,1,8,,,,
7,A,4,,,,,,
7,A,5,2,9,10,,,
7,A,6,4,6,7,,,
7,B,1,11,,,,,
7,B,2,14,18,,,,
7,B,3,12,17,19,,,
7,B,4,16,,,,,
7,B,5,15,,,,,
7,B,6,13,20,,,,
7,C,1,21,22,23,,,
7,C,2,25,,,,,
7,C,3,24,,,,,
7,C,4,,,,,,
7,C,5,26,27,,,,
7,C,6,,,,,,
7,D,1,28,,,,,
7,D,2,29,,,,,
7,D,3,,,,,,
7,D,4,,,,,,
7,D,5,30,31,33,35,,
7,D,6,32,34,,,,
8,A,1,5,9,10,,,
8,A,2,,,,,,
8,A,3,1,,,,,
8,A,4,3,,,,,
8,A,5,6,,,,,
8,A,6,2,4,7,8,,
8,B,1,11,,,,,
8,B,2,12,,,,,
8,B,3,13,14,,,,
8,B,4,16,,,,,
8,B,5,17,,,,,
8,B,6,15,,,,,
8,C,1,20,23,,,,
8,C,2,25,,,,,
8,C,3,19,22,,,,
8,C,4,18,21,28,,,
8,C,5,26,,,,,
8,C,6,24,27,,,,
8,D,1,,,,,,
8,D,2,29,33,,,,
8,D,3,32,37,39,,,
8,D,4,30,36,,,,
8,D,5,35,,,,,
8,D,6,31,34,38,,,
9,A,1,2,3,,,,
9,A,2,1,4,,,,
9,A,3,,,,,,
9,A,4,6,7,,,,
9,A,5,5,,,,,
9,A,6,,,,,,
9,B,1,8,10,13,,,
9,B,2,9,,,,,
9,B,3,,,,,,
9,B,4,11,12,,,,
9,B,5,14,,,,,
9,B,6,,,,,,
9,C,1,15,17,19,,,
9,C,2,16,18,22,,,
9,C,3,20,,,,,
9,C,4,,,,,,
9,C,5,21,,,,,
9,C,6,,,,,,
9,D,1,24,27,,,,
9,D,2,,,,,,
9,D,3,,,,,,
9,D,4,,,,,,
9,D,5,25,28,,,,
9,D,6,26,,,,,
10,A,1,,,,,,
10,A,2,,,,,,
10,A,3,2,6,9,,,
10,A,4,1,5,,,,
10,A,5,3,4,7,,,
10,A,6,8,,,,,
10,B,1,10,15,,,,
10,B,2,13,,,,,
10,B,3,11,14,19,,,
10,B,4,12,17,,,,
10,B,5,16,,,,,
10,B,6,18,,,,,
10,C,1,21,,,,,
10,C,2,22,25,,,,
10,C,3,20,23,24,,,
10,C,4,26,27,,,,
10,C,5,29,31,,,,
