bzt,nacl,plnt.micr,inoc,plate,row,column,SetupErrorPossible
1,10,MoccTr,y,13,A,5,
0,10,MoccTr,y,13,A,6,
10,0.8,KSR,y,13,B,1,
0,0,MoccTr,y,13,B,2,
0.1,0,KSR,n,13,B,3,
0,0.8,KSR,n,13,B,4,
10,0.8,BruceH,n,13,B,5,
10,0,MoccTr,n,13,B,6,
10,0,MoccTr,y,13,C,1,
0.1,0,BruceH,y,13,C,2,
1,10,BruceH,y,13,C,3,
1,10,BruceH,n,13,C,4,
0,0.8,KSR,n,13,C,5,
1,10,KSR,y,13,C,6,
0.1,10,MoccTr,n,13,D,1,
0.1,10,MoccTr,y,13,D,2,
0,0.8,MoccTr,n,13,D,3,
1,0,MoccTr,n,13,D,4,
0.1,0.8,BruceH,n,13,D,5,
0.1,10,BruceH,y,13,D,6,
10,0.8,MoccTr,y,14,A,1,
0.1,10,KSR,y,14,A,2,
0.1,0.8,MoccTr,n,14,A,3,
0.1,0.8,BruceH,y,14,A,4,
0,10,KSR,n,14,A,5,
1,10,MoccTr,n,14,A,6,
1,0.8,MoccTr,n,14,B,1,
0,0.8,BruceH,n,14,B,2,
1,0.8,MoccTr,y,14,B,3,
0,10,KSR,y,14,B,4,
1,10,BruceH,n,14,B,5,
10,0,KSR,y,14,B,6,
0.1,0,KSR,y,14,C,1,
1,0.8,KSR,n,14,C,2,
0.1,0,MoccTr,y,14,C,3,
10,10,BruceH,n,14,C,4,
10,10,KSR,y,14,C,5,
1,0,KSR,n,14,C,6,
1,10,MoccTr,n,14,D,1,
10,0.8,BruceH,n,14,D,2,
0,10,BruceH,n,14,D,3,
1,10,MoccTr,n,14,D,4,
0,0,BruceH,n,14,D,5,
0,10,MoccTr,y,14,D,6,
10,10,BruceH,n,15,A,1,
0,0.8,KSR,y,15,A,2,
0,0.8,KSR,y,15,A,3,
1,0,MoccTr,n,15,A,4,
0,10,MoccTr,y,15,A,5,
0,10,BruceH,n,15,A,6,
10,10,MoccTr,n,15,B,1,
10,0.8,MoccTr,n,15,B,2,
0.1,10,MoccTr,n,15,B,3,
0,10,BruceH,y,15,B,4,
1,0.8,BruceH,y,15,B,5,
1,10,BruceH,n,15,B,6,
1,0,MoccTr,y,15,C,1,
1,0.8,MoccTr,y,15,C,2,
1,10,MoccTr,y,15,C,3,
0,0.8,KSR,n,15,C,4,
1,0,MoccTr,y,15,C,5,
0,0.8,BruceH,y,15,C,6,
10,0.8,BruceH,y,15,D,1,
0.1,10,BruceH,y,15,D,2,
0.1,0.8,BruceH,n,15,D,3,
10,10,MoccTr,y,15,D,4,
10,0.8,BruceH,y,15,D,5,
0,10,KSR,y,15,D,6,
1,10,KSR,y,16,A,1,
1,0.8,MoccTr,n,16,A,2,
0,10,MoccTr,n,16,A,3,
1,0.8,MoccTr,n,16,A,4,
10,0,KSR,n,16,A,5,
1,0.8,BruceH,n,16,A,6,
0.1,0,MoccTr,n,16,B,1,
0,0,BruceH,n,16,B,2,
0.1,0.8,MoccTr,y,16,B,3,
0.1,0.8,MoccTr,y,16,B,4,
0.1,10,KSR,y,16,B,5,
0,10,MoccTr,y,16,B,6,
0,10,BruceH,y,16,C,1,
0,0,KSR,n,16,C,2,
1,0,KSR,n,16,C,3,
0,0.8,BruceH,y,16,C,4,
0,0.8,MoccTr,y,16,C,5,
0.1,0.8,BruceH,y,16,C,6,
0,10,BruceH,y,16,D,1,
10,10,MoccTr,n,16,D,2,
1,0,BruceH,y,16,D,3,
0,0.8,KSR,y,16,D,4,
1,0,BruceH,y,16,D,5,
1,0.8,KSR,y,16,D,6,
1,10,BruceH,n,17,A,1,
0,10,BruceH,y,17,A,2,
1,0,MoccTr,n,17,A,3,
0,10,KSR,y,17,A,4,
0.1,0.8,KSR,y,17,A,5,
0.1,0.8,BruceH,y,17,A,6,
0,10,MoccTr,y,17,B,1,
10,0.8,BruceH,n,17,B,2,
0,10,MoccTr,n,17,B,3,
0.1,10,BruceH,n,17,B,4,
0.1,0.8,MoccTr,y,17,B,5,
10,0.8,BruceH,n,17,B,6,
1,0,BruceH,y,17,C,1,
0.1,0,KSR,n,17,C,2,
0.1,10,MoccTr,y,17,C,3,
1,0,KSR,y,17,C,4,
10,0,KSR,y,17,C,5,
0,0.8,MoccTr,y,17,C,6,
0.1,10,MoccTr,y,17,D,1,
0,0.8,KSR,n,17,D,2,
10,10,MoccTr,n,17,D,3,
10,0.8,KSR,y,17,D,4,
10,0,BruceH,n,17,D,5,
0,0,BruceH,n,17,D,6,
1,10,BruceH,y,18,A,1,
10,10,KSR,y,18,A,2,
0,0,BruceH,y,18,A,3,
1,0,BruceH,y,18,A,4,
10,0.8,MoccTr,n,18,A,5,
1,0.8,BruceH,n,18,A,6,
10,10,MoccTr,n,18,B,1,
10,10,BruceH,n,18,B,2,
1,0,BruceH,n,18,B,3,
0.1,10,BruceH,n,18,B,4,
1,0.8,KSR,y,18,B,5,
10,0,MoccTr,y,18,B,6,
1,0.8,MoccTr,y,18,C,1,
1,10,KSR,y,18,C,2,
0.1,0.8,MoccTr,n,18,C,3,
1,0.8,MoccTr,y,18,C,4,
1,10,BruceH,n,18,C,5,
0,0.8,BruceH,n,18,C,6,
0,10,BruceH,n,18,D,1,
0.1,10,MoccTr,n,18,D,2,
0.1,0.8,MoccTr,y,18,D,3,
10,0,BruceH,y,18,D,4,
1,0,BruceH,n,18,D,5,
1,0.8,MoccTr,n,18,D,6,
10,0.8,BruceH,y,19,A,1,
1,10,KSR,n,19,A,2,
0.1,0.8,BruceH,n,19,A,3,
10,0.8,KSR,y,19,A,4,
0,0,BruceH,y,19,A,5,
0.1,0.8,MoccTr,y,19,A,6,
0,0.8,BruceH,y,19,B,1,
0.1,0,KSR,y,19,B,2,
10,0,BruceH,n,19,B,3,
0.1,0,KSR,n,19,B,4,
10,0.8,BruceH,y,19,B,5,
0.1,0.8,MoccTr,y,19,B,6,
0,0,BruceH,n,19,C,1,
0,0,MoccTr,n,19,C,2,
10,0.8,MoccTr,n,19,C,3,
0,0.8,BruceH,n,19,C,4,
10,0,MoccTr,n,19,C,5,
1,0,KSR,y,19,C,6,
0,0,MoccTr,n,19,D,1,
1,0.8,BruceH,n,19,D,2,
0.1,10,MoccTr,n,19,D,3,
10,0.8,KSR,n,19,D,4,
10,10,BruceH,y,19,D,5,
0.1,0,KSR,y,19,D,6,
10,10,BruceH,y,20,A,1,
0,10,BruceH,n,20,A,2,
10,0,MoccTr,n,20,A,3,
10,10,MoccTr,n,20,A,4,
10,10,MoccTr,y,20,A,5,
0,0,MoccTr,y,20,A,6,
1,0,KSR,n,20,B,1,
1,0.8,BruceH,n,20,B,2,
10,0,KSR,y,20,B,3,
0.1,0.8,MoccTr,n,20,B,4,
0.1,10,MoccTr,y,20,B,5,
0.1,0.8,KSR,n,20,B,6,
1,10,MoccTr,n,20,C,1,
10,0,KSR,y,20,C,2,
0.1,0,MoccTr,n,20,C,3,
1,0.8,KSR,n,20,C,4,
0,0,KSR,y,20,C,5,
10,0,KSR,n,20,C,6,
0,0,MoccTr,n,20,D,1,
0.1,0,KSR,n,20,D,2,
0.1,0.8,KSR,y,20,D,3,
0,0.8,MoccTr,n,20,D,4,
10,0.8,BruceH,n,20,D,5,
10,10,BruceH,y,20,D,6,
10,0.8,MoccTr,y,21,A,1,
10,10,KSR,y,21,A,2,
0.1,0.8,BruceH,n,21,A,3,
0.1,0.8,MoccTr,n,21,A,4,
10,0,BruceH,y,21,A,5,
0.1,10,KSR,y,21,A,6,
1,10,MoccTr,y,21,B,1,
0.1,10,KSR,n,21,B,2,
0.1,10,BruceH,y,21,B,3,
0,10,MoccTr,n,21,B,4,
0.1,10,KSR,y,21,B,5,
