plate,row,col,OD600.1,OD600.2,OD750.1,OD750.2,Blank1od600,blank2od600,blank1od750,blank2od750,od600mean.blanked,od750mean.blanked,od600.fancyblankmean,od750.fancyblankmean,Note: blank is 2xK at 70ul for col 1-10 and 50ul for col 11 and 12,"plate 18 so cols 7 and 8, row C tiny amount cross contam bt these 2",regular blanked is just average of two wells where each has blank subtracted and fancy blank sets wells to zero if they are less than their corresponding blank value
15,A,4,0.05,0.042,0.047,0.044,0.04,0.038,0.041,0.04,0.007,0.005,0.007,0.005,,,
15,A,5,0.046,0.045,0.044,0.043,0.04,0.038,0.041,0.039,0.0065,0.0035,0.0065,0.0035,,,
15,A,6,0.039,0.04,0.038,0.039,0.04,0.038,0.04,0.038,0.0005,-0.0005,0.001,0.0005,,,
15,B,1,0.04,0.04,0.04,0.039,0.037,0.037,0.037,0.037,0.003,0.0025,0.003,0.0025,,,
15,B,2,0.043,0.045,0.041,0.043,0.038,0.039,0.038,0.038,0.0055,0.004,0.0055,0.004,,,
15,B,3,0.04,0.041,0.039,0.039,0.038,0.039,0.038,0.039,0.002,0.0005,0.002,0.0005,,,
15,B,4,0.043,0.044,0.041,0.043,0.039,0.039,0.037,0.04,0.0045,0.0035,0.0045,0.0035,,,
15,B,5,0.047,0.047,0.049,0.046,0.039,0.038,0.038,0.039,0.0085,0.009,0.0085,0.009,,,
15,B,6,0.042,0.041,0.04,0.041,0.038,0.038,0.038,0.038,0.0035,0.0025,0.0035,0.0025,,,
15,C,1,0.05,0.048,0.046,0.045,0.039,0.039,0.039,0.038,0.01,0.007,0.01,0.007,,,
15,C,2,0.04,0.041,0.04,0.041,0.038,0.038,0.039,0.04,0.0025,0.001,0.0025,0.001,,,
15,C,3,0.049,0.046,0.042,0.042,0.038,0.039,0.038,0.038,0.009,0.004,0.009,0.004,,,
15,C,4,0.041,0.044,0.043,0.044,0.038,0.038,0.04,0.039,0.0045,0.004,0.0045,0.004,,,
15,C,5,0.041,0.043,0.042,0.041,0.038,0.039,0.04,0.038,0.0035,0.0025,0.0035,0.0025,,,
15,C,6,0.046,0.047,0.043,0.043,0.038,0.038,0.038,0.038,0.0085,0.005,0.0085,0.005,,,
15,D,1,0.058,0.057,0.05,0.05,0.037,0.039,0.036,0.038,0.0195,0.013,0.0195,0.013,,,
15,D,2,0.05,0.043,0.047,0.041,0.048,0.041,0.046,0.041,0.002,0.0005,0.002,0.0005,,,
15,D,3,0.039,0.041,0.039,0.04,0.038,0.041,0.039,0.041,0.0005,-0.0005,0.0005,0,,,
15,D,4,0.04,0.042,0.04,0.041,0.038,0.042,0.039,0.042,0.001,3.46944695195361E-018,0.001,0.0005,,,
15,D,5,0.046,0.057,0.045,0.051,0.038,0.042,0.041,0.043,0.0115,0.006,0.0115,0.006,,,
15,D,6,0.043,0.044,0.042,0.042,0.038,0.042,0.039,0.041,0.0035,0.002,0.0035,0.002,,,
16,A,1,0.047,0.047,0.044,0.045,0.041,0.038,0.043,0.038,0.0075,0.004,0.0075,0.004,,,
16,A,2,0.051,0.052,0.046,0.047,0.041,0.039,0.041,0.039,0.0115,0.0065,0.0115,0.0065,,,
16,A,3,0.087,0.041,0.07,0.04,0.041,0.038,0.041,0.038,0.0245,0.0155,0.0245,0.0155,,,
16,A,4,0.04,0.042,0.04,0.042,0.04,0.038,0.041,0.039,0.002,0.001,0.002,0.0015,,,
16,A,5,0.055,0.073,0.045,0.07,0.04,0.038,0.04,0.038,0.025,0.0185,0.025,0.0185,,,
16,A,6,0.04,0.039,0.04,0.039,0.04,0.043,0.039,0.044,-0.002,-0.002,0,0.0005,,,
16,B,1,0.041,0.044,0.04,0.042,0.038,0.038,0.038,0.038,0.0045,0.003,0.0045,0.003,,,
16,B,2,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.001,0.001,0.001,0.001,,,
16,B,3,0.041,0.043,0.039,0.043,0.039,0.039,0.038,0.04,0.003,0.002,0.003,0.002,,,
