plate,row,column,roi,,,,
19,A,2,8,,,,
19,A,3,7,,,,
19,A,4,6,,,,
19,A,5,5,,,,
19,A,6,1,3,4,,
19,B,1,12,,,,
19,B,2,14,,,,
19,B,3,11,,,,
19,B,4,,,,,
19,B,5,13,15,,,
19,B,6,10,,,,
19,C,1,18,,,,
19,C,2,22,,,,
19,C,3,21,,,,
19,C,4,16,20,,,
19,C,5,17,,,,
19,C,6,19,23,,,
19,D,1,27,,,,
19,D,2,26,29,,,
19,D,3,,,,,
19,D,4,25,28,,,
19,D,5,,,,,
19,D,6,24,,,,
20,A,1,,,,,
20,A,2,2,,,,
20,A,3,1,,,,
20,A,4,,,,,
20,A,5,,,,,
20,A,6,,,,,
20,B,1,7,,,,
20,B,2,6,,,,
20,B,3,,,,,
20,B,4,3,4,,,
20,B,5,,,,,
20,B,6,5,,,,
20,C,1,10,,,,
20,C,2,9,,,,
20,C,3,8,,,,
20,C,4,,,,,
20,C,5,,,,,
20,C,6,11,,,,
20,D,1,,,,,
20,D,2,,,,,
20,D,3,13,14,,,
20,D,4,12,,,,
20,D,5,15,16,,,
20,D,6,,,,,
21,A,1,1,2,,,
21,A,2,,,,,
21,A,3,,,,,
21,A,4,,,,,
21,A,5,3,,,,
21,A,6,,,,,
21,B,1,,,,,
21,B,2,6,,,,
21,B,3,,,,,
21,B,4,5,,,,
21,B,5,4,,,,
21,B,6,,,,,
21,C,1,7,8,,,
21,C,2,13,,,,
21,C,3,,,,,
21,C,4,9,11,,,
21,C,5,14,15,16,,
21,C,6,10,12,,,
21,D,1,18,19,,,
21,D,2,,,,,
21,D,3,23,27,,,
21,D,4,25,,,,
21,D,5,20,22,24,26,
21,D,6,21,,,,
22,A,1,6,8,,,
22,A,2,,,,,
22,A,3,4,5,,,
22,A,4,,,,,
22,A,5,3,7,,,
22,A,6,,,,,
22,B,1,10,11,,,
22,B,2,12,,,,
22,B,3,13,,,,
22,B,4,14,,,,
22,B,5,,,,,
22,B,6,9,,,,
22,C,1,,,,,
22,C,2,16,21,23,,
22,C,3,24,,,,
22,C,4,15,18,,,
22,C,5,19,,,,
22,C,6,17,20,22,,
22,D,1,,,,,
22,D,2,26,,,,
22,D,3,27,,,,
22,D,4,25,,,,
22,D,5,,,,,
22,D,6,28,,,,
23,A,1,2,,,,
23,A,2,,,,,
23,A,3,,,,,
23,A,4,1,3,,,
23,A,5,,,,,
23,A,6,,,,,
23,B,1,6,7,,,
23,B,2,8,10,,,
23,B,3,4,9,,,
23,B,4,13,,,,
23,B,5,12,,,,
23,B,6,5,11,,,
23,C,1,,,,,
23,C,2,15,,,,
23,C,3,,,,,
23,C,4,14,19,,,
23,C,5,17,,,,
23,C,6,,,,,
23,D,1,,,,,
23,D,2,22,23,,,
23,D,3,19,,,,
23,D,4,21,24,,,
23,D,5,18,20,,,
23,D,6,,,,,
24,A,1,5,,,,
24,A,2,6,,,,
24,A,3,,,,,
24,A,4,7,,,,
24,A,5,4,,,,
24,A,6,2,3,,,
24,B,1,,,,,
24,B,2,12,14,,,
24,B,3,9,15,,,
24,B,4,10,11,,,
24,B,5,,,,,
24,B,6,13,,,,
24,C,1,18,,,,
24,C,2,17,20,,,
24,C,3,,,,,
24,C,4,,,,,
24,C,5,16,19,,,
24,C,6,21,22,,,
24,D,1,,,,,
24,D,2,,,,,
24,D,3,23,25,26,,
24,D,4,,,,,
24,D,5,24,,,,
24,D,6,,,,,
