"pixstart","pix20","pix23","pixend","alivestart","alive20","alive23","aliveend","deadstart","dead20","dead23","deadend","dpixse","dpixs20","dpix2023","dpixs23","dpix23e","dpixse.1","bzt","nacl","inoc","plnt.micr","plate","lbzt","lnacl","lOD600","lOD750","flOD600","Lcellfb6","cellfb6","red","green","blue","aggrE","daggrE","x","y"
1295,400.893805309734,367.814159292035,335,1,1,1,1,0,0,0,0,-960,-894.106194690266,-33.0796460176991,-927.185840707965,-32.8141592920354,-960,0.1,10,"n","KSR",8,-2.20727491318972,2.31055326264322,-4.55638002181866,-4.55638002181866,-4.55638002181866,5.14589816357272,86.2308071608066,0.466611268841031,0.439114327262655,0.0942744038963137,4.58828685695502,-3.37349658253543,42.3333333333333,-661.55
652,1584.67256637168,3718.30973451327,5225,1,1,1,1,0,0,0,0,4573,932.672566371681,2133.63716814159,3066.30973451327,1506.69026548673,4573,0,0,"y","KSR",8,-4.60517018598809,-2.52572864430826,-3.9633162998157,-4.16691525505694,-3.9633162998157,7.16360348340068,1206.06181447293,0.471696989193504,0.492912829189056,0.0353901816174397,11.2520942893199,5.16170999728035,63.5,-661.55
1992,1953.27433628319,3530.07079646018,5679,1,1,1,1,0,0,0,0,3687,-38.7256637168141,1576.79646017699,1538.07079646018,2148.92920353982,3687,0,0.8,"n","MoccTr",8,-4.60517018598809,-0.127833371509885,-4.1043948980756,-4.23360662955561,-4.1043948980756,6.84377217118598,852.525998644416,0.473902092842035,0.466118872685443,0.0599790344725222,11.2675441555195,1.58462100156976,84.6666666666667,-661.55
1139,323.70796460177,257.548672566372,416,1,1,1,1,0,0,0,0,-723,-815.29203539823,-66.1592920353982,-881.451327433628,158.451327433628,-723,10,0,"n","KSR",8,2.30358459332713,-2.52572864430826,-4.38202663467388,-4.38202663467388,-4.38202663467388,6.0519778007706,339.457825178343,0.458215583366976,0.440484200677984,0.10130021595504,4.8656678012094,-3.17351882226164,105.833333333333,-661.55
1115,3229.20353982301,5629.05309734513,6064,1,1,1,1,0,0,0,0,4949,2114.20353982301,2399.84955752212,4514.05309734513,434.946902654867,4949,0,0.8,"n","KSR",8,-4.60517018598809,-0.127833371509885,-4.55638002181866,-5.11599580975408,-4.50986000618377,5.47331402197794,152.75360049071,0.469718058012198,0.491141589584481,0.0391403524033211,12.7966775908313,4.46222303042706,127,-661.55
2506,0,0,0,1,0,0,0,0,1,1,1,-2506,-2506,0,-2506,0,-2506,1,10,"n","MoccTr",8,0.00995033085316809,2.31055326264322,-4.60517018598809,-4.55638002181866,-4.55638002181866,5.14589816357272,86.2308071608066,NA,NA,NA,NA,NA,21.1666666666667,-682.8
3093,2360.46902654867,4001.84955752212,3784,1,1,1,1,0,0,0,0,691,-732.530973451328,1641.38053097345,908.849557522124,-217.849557522124,691,1,0.8,"n","MoccTr",8,0.00995033085316809,-0.127833371509885,-4.50986000618377,-4.60517018598809,-4.50986000618377,5.47331402197794,152.75360049071,0.4675924292842,0.491195064689721,0.0412125060260797,10.8430903953831,-1.2481037126519,42.3333333333333,-682.8
1705,909.690265486726,3229.99115044248,4165,1,1,1,1,0,0,0,0,2460,-795.309734513274,2320.30088495575,1524.99115044248,935.008849557522,2460,0.1,0,"y","BruceH",8,-2.20727491318972,-2.52572864430826,-4.07454193492592,-4.26869794936688,-4.07454193492592,6.91413624388924,920.906520643025,0.461850408949035,0.477356867837696,0.0607927232132686,9.54364642909518,0.623343191103579,63.5,-682.8
1029,782.097345132743,1884.75221238938,2457,1,1,1,1,0,0,0,0,1428,-246.902654867257,1102.65486725664,855.75221238938,572.24778761062,1428,0,0.8,"n","MoccTr",8,-4.60517018598809,-0.127833371509885,-3.15825120305177,-3.45776773315055,-3.15825120305177,8.75632301434969,6265.22225213544,0.457298655475662,0.433063359261536,0.109637985262802,7.95354121954299,0.885311162049221,84.6666666666667,-682.8
707,259.911504424779,232.345132743363,200,1,1,1,1,0,0,0,0,-507,-447.088495575221,-27.5663716814159,-474.654867256637,-32.3451327433628,-507,0,10,"n","KSR",8,-4.60517018598809,2.31055326264322,-3.98998454689786,-3.75075485783202,-3.98998454689786,7.10534631417912,1132.96913703775,0.503557396198365,0.395189550812361,0.101253052989275,3.55973230813043,-2.75942537585806,105.833333333333,-682.8
2036,2238.38938053097,4602.79646017699,4010,1,1,1,1,0,0,0,0,1974,202.389380530974,2364.40707964602,2566.79646017699,-592.796460176991,1974,1,0,"y","MoccTr",8,0.00995033085316809,-2.52572864430826,-2.95651156040071,-2.91877123241786,-2.95651156040071,9.14937655782436,9323.07800279723,0.477738287408079,0.451101167719219,0.0711605448727026,9.87018613054244,0.65484775200748,127,-682.8
836,712.787610619469,715.150442477876,927,1,1,1,1,0,0,0,0,91,-123.212389380531,2.36283185840708,-120.849557522124,211.849557522124,91,0,0.8,"y","KSR",9,-4.60517018598809,-0.127833371509885,-3.75075485783202,-3.88733039283777,-3.75075485783202,7.60470319348281,1922.12108578682,0.438112759489046,0.4111741757023,0.150713064808653,5.93599118886313,-0.564280951716915,148.796666666667,-21.25
1190,746.654867256637,3611.19469026549,4744,1,1,1,1,0,0,0,0,3554,-443.345132743363,2864.53982300885,2421.19469026549,1132.80530973451,3554,0.1,0,"y","MoccTr",9,-2.20727491318972,-2.52572864430826,-3.86323284125871,-3.86323284125871,-3.86323284125871,7.37561352438606,1511.07621936698,0.462189247507902,0.500288718696815,0.0375220337952833,11.5766894670184,6.09478895199614,169.963333333333,-21.25
1032,0,0,0,1,0,0,0,0,1,1,1,-1032,-1032,0,-1032,0,-1032,0,0,"n","MoccTr",9,-4.60517018598809,-2.52572864430826,-4.50986000618377,-4.55638002181866,-4.50986000618377,5.47331402197794,152.75360049071,NA,NA,NA,NA,NA,191.13,-21.25
1277,988.451327433628,2087.95575221239,4665,1,1,1,1,0,0,0,0,3388,-288.548672566372,1099.50442477876,810.95575221239,2577.04424778761,3388,10,0,"y","BruceH",9,2.30358459332713,-2.52572864430826,-3.86323284125871,-3.9633162998157,-3.86323284125871,7.37561352438606,1511.07621936698,0.450374211221445,0.509689543282949,0.0399362454956057,11.6117855267121,5.51696016231121,212.296666666667,-21.25
1572,1713.8407079646,2508.53982300885,2665,1,1,1,1,0,0,0,0,1093,141.840707964602,794.699115044248,936.539823008849,156.460176991151,1093,0,0,"n","MoccTr",9,-4.60517018598809,-2.52572864430826,-4.55638002181866,-4.60517018598809,-4.55638002181866,5.14589816357272,86.2308071608066,0.457925072046109,0.507476785142491,0.0345981428113993,11.1310202530271,3.82886816201961,233.463333333333,-21.25
890,88.212389380531,0,0,1,1,0,0,0,0,1,1,-890,-801.787610619469,-88.212389380531,-890,0,-890,10,10,"n","BruceH",9,2.30358459332713,2.31055326264322,-4.60517018598809,-4.60517018598809,-4.55638002181866,5.14589816357272,86.2308071608066,NA,NA,NA,NA,NA,254.63,-21.25
1764,1999.74336283186,4314.53097345133,4968,1,1,1,1,0,0,0,0,3204,235.743362831858,2314.78761061947,2550.53097345133,653.469026548672,3204,1,0,"y","MoccTr",9,0.00995033085316809,-2.52572864430826,-4.13516655674236,-4.23360662955561,-4.13516655674236,6.76933672978833,785.239324389224,0.450029446844733,0.481339608728144,0.0686309444271228,11.2890361371863,2.07177205525509,148.796666666667,-42.5
1734,0,95.3008849557522,388,1,0,1,1,0,1,0,0,-1346,-1734,95.3008849557522,-1638.69911504425,292.699115044248,-1346,0.1,10,"y","KSR",9,-2.20727491318972,2.31055326264322,-4.13516655674236,-4.16691525505694,-4.13516655674236,6.76933672978833,785.239324389224,0.461511227999191,0.468878548789534,0.0696102232112752,5.20616689253559,-1.66682154942848,169.963333333333,-42.5
967,0,0,0,1,0,0,0,0,1,1,1,-967,-967,0,-967,0,-967,10,0,"y","KSR",9,2.30358459332713,-2.52572864430826,-4.13516655674236,-4.26869794936688,-4.13516655674236,6.76933672978833,785.239324389224,NA,NA,NA,NA,NA,191.13,-42.5
1679,1329.48672566372,1314.52212389381,2813,1,1,1,1,0,0,0,0,1134,-349.513274336283,-14.9646017699115,-364.477876106195,1498.47787610619,1134,10,0,"n","BruceH",9,2.30358459332713,-2.52572864430826,-4.50986000618377,-4.55638002181866,-4.50986000618377,5.47331402197794,152.75360049071,0.458490251537929,0.459175222289938,0.0823345261721334,9.04859478185906,4.01847096112201,212.296666666667,-42.5
1913,1513,2026.52212389381,2102,1,1,1,1,0,0,0,0,189,-400,513.522123893805,113.522123893805,75.4778761061946,189,1,0.8,"y","BruceH",9,0.00995033085316809,-0.127833371509885,-4.07454193492592,-4.1043948980756,-4.07454193492592,6.91413624388924,920.906520643025,0.477103853464662,0.478742263950489,0.0441538825848485,10.0391632438628,2.06188160787374,233.463333333333,-42.5
1714,0,0,0,1,0,0,0,0,1,1,1,-1714,-1714,0,-1714,0,-1714,10,10,"y","BruceH",9,2.30358459332713,2.31055326264322,-4.16691525505694,-4.23360662955561,-4.16691525505694,6.69021675550403,719.001766323433,NA,NA,NA,NA,NA,254.63,-42.5
