plate,row,column,roi,,
18,D,5,20,,
18,D,6,24,,
19,A,1,1,,
19,A,2,5,,
19,A,3,2,,
19,A,4,4,,
19,A,5,3,,
19,A,6,6,,
19,B,1,7,,
19,B,2,9,,
19,B,3,8,,
19,B,4,10,,
19,B,5,11,,
19,B,6,12,,
19,C,1,15,,
19,C,2,14,,
19,C,3,17,,
19,C,4,13,,
19,C,5,16,,
19,C,6,18,,
19,D,1,23,,
19,D,2,19,,
19,D,3,20,,
19,D,4,24,,
19,D,5,22,,
19,D,6,21,,
20,A,1,1,2,7
20,A,2,3,,
20,A,3,4,,
20,A,4,5,,
20,A,5,6,,
20,A,6,,,
20,B,1,10,,
20,B,2,9,,
20,B,3,12,,
20,B,4,11,,
20,B,5,13,,
20,B,6,8,,
20,C,1,15,,
20,C,2,14,16,
20,C,3,17,,
20,C,4,19,,
20,C,5,18,,
20,C,6,,,
20,D,1,22,,
20,D,2,24,,
20,D,3,25,,
20,D,4,23,,
20,D,5,21,,
20,D,6,20,,
21,A,1,2,,
21,A,2,1,,
21,A,3,3,,
21,A,4,6,,
21,A,5,4,,
21,A,6,5,,
21,B,1,8,,
21,B,2,9,,
21,B,3,7,,
21,B,4,11,,
21,B,5,10,,
21,B,6,12,,
21,C,1,13,,
21,C,2,14,,
21,C,3,18,,
21,C,4,17,,
21,C,5,16,,
21,C,6,15,,
21,D,1,19,,
21,D,2,24,,
21,D,3,23,,
21,D,4,21,,
21,D,5,20,,
21,D,6,22,,
22,A,1,3,,
22,A,2,1,,
22,A,3,2,,
22,A,4,4,,
22,A,5,5,,
22,A,6,6,,
22,B,1,7,13,
22,B,2,8,,
22,B,3,9,,
22,B,4,11,14,
22,B,5,10,,
22,B,6,12,,
22,C,1,16,,
22,C,2,17,,
22,C,3,20,,
22,C,4,15,,
22,C,5,18,,
22,C,6,19,,
22,D,1,26,,
22,D,2,21,,
22,D,3,22,,
22,D,4,24,,
22,D,5,23,,
22,D,6,25,,
23,A,1,1,,
23,A,2,3,,
23,A,3,2,,
23,A,4,4,,
23,A,5,5,,
23,A,6,6,,
23,B,1,7,,
23,B,2,8,,
23,B,3,10,,
23,B,4,9,,
23,B,5,11,,
23,B,6,12,,
23,C,1,14,,
23,C,2,17,,
23,C,3,13,16,20
23,C,4,18,,
23,C,5,15,,
23,C,6,19,21,
23,D,1,22,,
23,D,2,23,,
23,D,3,24,,
23,D,4,26,,
23,D,5,25,,
23,D,6,27,28,
24,A,1,1,,
24,A,2,3,,
24,A,3,2,,
24,A,4,4,,
24,A,5,5,,
24,A,6,6,,
24,B,1,9,,
24,B,2,11,,
24,B,3,7,,
24,B,4,8,,
24,B,5,10,,
24,B,6,12,,
24,C,1,13,,
24,C,2,14,,
24,C,3,17,,
24,C,4,18,,
24,C,5,15,,
24,C,6,16,,
24,D,1,19,,
24,D,2,20,,
24,D,3,23,25,
24,D,4,21,,
24,D,5,24,,
24,D,6,22,,
